Date,Ticker,Adj Close
2021-02-22,AAPL,122.72344207763672
2021-02-23,AAPL,122.58709716796875
2021-02-24,AAPL,122.09033966064453
2021-02-25,AAPL,117.84373474121094
2021-02-26,AAPL,118.106689453125
2021-03-01,AAPL,124.46688842773438
2021-03-02,AAPL,121.86634063720703
2021-03-03,AAPL,118.8858871459961
2021-03-04,AAPL,117.00609588623047
2021-03-05,AAPL,118.26253509521484
2021-03-08,AAPL,113.33411407470703
2021-03-09,AAPL,117.94110107421875
2021-03-10,AAPL,116.85999298095703
2021-03-11,AAPL,118.78849029541016
2021-03-12,AAPL,117.88268280029297
2021-03-15,AAPL,120.76571655273438
2021-03-16,AAPL,122.30463409423828
2021-03-17,AAPL,121.51568603515625
2021-03-18,AAPL,117.39568328857422
2021-03-19,AAPL,116.86972045898438
2021-03-22,AAPL,120.18130493164062
2021-03-23,AAPL,119.35340881347656
2021-03-24,AAPL,116.9671401977539
2021-03-25,AAPL,117.45411682128906
2021-03-26,AAPL,118.05802154541016
2021-03-29,AAPL,118.23331451416016
2021-03-30,AAPL,116.7820816040039
2021-03-31,AAPL,118.97356414794922
2021-04-01,AAPL,119.80146026611328
2021-04-05,AAPL,122.62603759765625
2021-04-06,AAPL,122.92798614501953
2021-04-07,AAPL,124.57402801513672
2021-04-08,AAPL,126.97007751464844
2021-04-09,AAPL,129.5413818359375
2021-04-12,AAPL,127.82720184326172
2021-04-13,AAPL,130.93421936035156
2021-04-14,AAPL,128.5966796875
2021-04-15,AAPL,131.00241088867188
2021-04-16,AAPL,130.6712646484375
2021-04-19,AAPL,131.3335418701172
2021-04-20,AAPL,129.6485595703125
2021-04-21,AAPL,130.0283660888672
2021-04-22,AAPL,128.50894165039062
2021-04-23,AAPL,130.82708740234375
2021-04-26,AAPL,131.21664428710938
2021-04-27,AAPL,130.89524841308594
2021-04-28,AAPL,130.10633850097656
2021-04-29,AAPL,130.00892639160156
2021-04-30,AAPL,128.04147338867188
2021-05-03,AAPL,129.0933837890625
2021-05-04,AAPL,124.52531433105469
2021-05-05,AAPL,124.76885223388672
2021-05-06,AAPL,126.36619567871094
2021-05-07,AAPL,127.03938293457031
2021-05-10,AAPL,123.7612075805664
2021-05-11,AAPL,122.84408569335938
2021-05-12,AAPL,119.7805404663086
2021-05-13,AAPL,121.92698669433594
2021-05-14,AAPL,124.34658813476562
2021-05-17,AAPL,123.19534301757812
2021-05-18,AAPL,121.80989837646484
2021-05-19,AAPL,121.65380859375
2021-05-20,AAPL,124.20999145507812
2021-05-21,AAPL,122.37577819824219
2021-05-24,AAPL,124.00511169433594
2021-05-25,AAPL,123.80998229980469
2021-05-26,AAPL,123.7612075805664
2021-05-27,AAPL,122.22944641113281
2021-05-28,AAPL,121.57572937011719
2021-06-01,AAPL,121.2537841796875
2021-06-02,AAPL,122.01477813720703
2021-06-03,AAPL,120.53179931640625
2021-06-04,AAPL,122.82457733154297
2021-06-07,AAPL,122.83434295654297
2021-06-08,AAPL,123.65386962890625
2021-06-09,AAPL,124.03438568115234
2021-06-10,AAPL,123.03923034667969
2021-06-11,AAPL,124.24903106689453
2021-06-14,AAPL,127.30281066894531
2021-06-15,AAPL,126.48328399658203
2021-06-16,AAPL,126.98081970214844
2021-06-17,AAPL,128.5809326171875
2021-06-18,AAPL,127.28328704833984
2021-06-21,AAPL,129.07850646972656
2021-06-22,AAPL,130.71755981445312
2021-06-23,AAPL,130.44436645507812
2021-06-24,AAPL,130.1614990234375
2021-06-25,AAPL,129.86875915527344
2021-06-28,AAPL,131.49806213378906
2021-06-29,AAPL,133.01039123535156
2021-06-30,AAPL,133.62501525878906
2021-07-01,AAPL,133.927490234375
2021-07-02,AAPL,136.5519561767578
2021-07-06,AAPL,138.56179809570312
2021-07-07,AAPL,141.04971313476562
2021-07-08,AAPL,139.7521209716797
2021-07-09,AAPL,141.5765380859375
2021-07-12,AAPL,140.9813995361328
2021-07-13,AAPL,142.09368896484375
2021-07-14,AAPL,145.5181427001953
2021-07-15,AAPL,144.86448669433594
2021-07-16,AAPL,142.82540893554688
2021-07-19,AAPL,138.9813232421875
2021-07-20,AAPL,142.5912322998047
2021-07-21,AAPL,141.85951232910156
2021-07-22,AAPL,143.22540283203125
2021-07-23,AAPL,144.94253540039062
2021-07-26,AAPL,145.36209106445312
2021-07-27,AAPL,143.19615173339844
2021-07-28,AAPL,141.44970703125
2021-07-29,AAPL,142.09368896484375
2021-07-30,AAPL,142.30831909179688
2021-08-02,AAPL,141.9765625
2021-08-03,AAPL,143.77178955078125
2021-08-04,AAPL,143.37176513671875
2021-08-05,AAPL,143.47906494140625
2021-08-06,AAPL,142.7950897216797
2021-08-09,AAPL,142.7462615966797
2021-08-10,AAPL,142.26747131347656
2021-08-11,AAPL,142.52151489257812
2021-08-12,AAPL,145.48214721679688
2021-08-13,AAPL,145.6873779296875
2021-08-16,AAPL,147.6611328125
2021-08-17,AAPL,146.75241088867188
2021-08-18,AAPL,143.0100860595703
2021-08-19,AAPL,143.34228515625
2021-08-20,AAPL,144.79815673828125
2021-08-23,AAPL,146.28341674804688
2021-08-24,AAPL,146.19546508789062
2021-08-25,AAPL,144.96426391601562
2021-08-26,AAPL,144.16305541992188
2021-08-27,AAPL,145.1988067626953
2021-08-30,AAPL,149.61532592773438
2021-08-31,AAPL,148.3549041748047
2021-09-01,AAPL,149.01930236816406
2021-09-02,AAPL,150.13320922851562
2021-09-03,AAPL,150.7683563232422
2021-09-07,AAPL,153.10366821289062
2021-09-08,AAPL,151.55978393554688
2021-09-09,AAPL,150.5436248779297
2021-09-10,AAPL,145.56033325195312
2021-09-13,AAPL,146.12705993652344
2021-09-14,AAPL,144.7297821044922
2021-09-15,AAPL,145.6189727783203
2021-09-16,AAPL,145.38442993164062
2021-09-17,AAPL,142.71693420410156
2021-09-20,AAPL,139.66835021972656
2021-09-21,AAPL,140.14712524414062
2021-09-22,AAPL,142.51177978515625
2021-09-23,AAPL,143.46934509277344
2021-09-24,AAPL,143.55726623535156
2021-09-27,AAPL,142.042724609375
2021-09-28,AAPL,138.6619415283203
2021-09-29,AAPL,139.56088256835938
2021-09-30,AAPL,138.2613067626953
2021-10-01,AAPL,139.3849639892578
2021-10-04,AAPL,135.95530700683594
2021-10-05,AAPL,137.88023376464844
2021-10-06,AAPL,138.74986267089844
2021-10-07,AAPL,140.01031494140625
2021-10-08,AAPL,139.62925720214844
2021-10-11,AAPL,139.54135131835938
2021-10-12,AAPL,138.27108764648438
2021-10-13,AAPL,137.6848602294922
2021-10-14,AAPL,140.46958923339844
2021-10-15,AAPL,141.52487182617188
2021-10-18,AAPL,143.19570922851562
2021-10-19,AAPL,145.35513305664062
2021-10-20,AAPL,145.84368896484375
2021-10-21,AAPL,146.0586395263672
2021-10-22,AAPL,145.28675842285156
2021-10-25,AAPL,145.2378692626953
2021-10-26,AAPL,145.90234375
2021-10-27,AAPL,145.443115234375
2021-10-28,AAPL,149.07794189453125
2021-10-29,AAPL,146.37130737304688
2021-11-01,AAPL,145.55052185058594
2021-11-02,AAPL,146.58631896972656
2021-11-03,AAPL,148.0226593017578
2021-11-04,AAPL,147.5047607421875
2021-11-05,AAPL,148.033203125
2021-11-08,AAPL,147.21121215820312
2021-11-09,AAPL,147.57325744628906
2021-11-10,AAPL,144.74533081054688
2021-11-11,AAPL,144.69638061523438
2021-11-12,AAPL,146.77090454101562
2021-11-15,AAPL,146.7806854248047
2021-11-16,AAPL,147.7592010498047
2021-11-17,AAPL,150.19581604003906
2021-11-18,AAPL,154.4817657470703
2021-11-19,AAPL,157.10427856445312
2021-11-22,AAPL,157.56417846679688
2021-11-23,AAPL,157.94581604003906
2021-11-24,AAPL,158.46441650390625
2021-11-26,AAPL,153.44451904296875
2021-11-29,AAPL,156.8009033203125
2021-11-30,AAPL,161.7523193359375
2021-12-01,AAPL,161.23367309570312
2021-12-02,AAPL,160.245361328125
2021-12-03,AAPL,158.36654663085938
2021-12-06,AAPL,161.77188110351562
2021-12-07,AAPL,167.506103515625
2021-12-08,AAPL,171.3223876953125
2021-12-09,AAPL,170.81353759765625
2021-12-10,AAPL,175.59860229492188
2021-12-13,AAPL,171.96824645996094
2021-12-14,AAPL,170.58848571777344
2021-12-15,AAPL,175.45181274414062
2021-12-16,AAPL,168.56289672851562
2021-12-17,AAPL,167.46693420410156
2021-12-20,AAPL,166.1068115234375
2021-12-21,AAPL,169.27725219726562
2021-12-22,AAPL,171.87034606933594
2021-12-23,AAPL,172.4966278076172
2021-12-27,AAPL,176.45973205566406
2021-12-28,AAPL,175.4420623779297
2021-12-29,AAPL,175.53012084960938
2021-12-30,AAPL,174.3754425048828
2021-12-31,AAPL,173.75897216796875
2022-01-03,AAPL,178.10366821289062
2022-01-04,AAPL,175.84324645996094
2022-01-05,AAPL,171.1658172607422
2022-01-06,AAPL,168.30848693847656
2022-01-07,AAPL,168.47483825683594
2022-01-10,AAPL,168.4944305419922
2022-01-11,AAPL,171.3223876953125
2022-01-12,AAPL,171.7627716064453
2022-01-13,AAPL,168.4944305419922
2022-01-14,AAPL,169.3555450439453
2022-01-18,AAPL,166.15573120117188
2022-01-19,AAPL,162.6623077392578
2022-01-20,AAPL,160.979248046875
2022-01-21,AAPL,158.92431640625
2022-01-24,AAPL,158.15122985839844
2022-01-25,AAPL,156.35073852539062
2022-01-26,AAPL,156.2626953125
2022-01-27,AAPL,155.80276489257812
2022-01-28,AAPL,166.6743621826172
2022-01-31,AAPL,171.02882385253906
2022-02-01,AAPL,170.86248779296875
2022-02-02,AAPL,172.06605529785156
2022-02-03,AAPL,169.1891632080078
2022-02-04,AAPL,168.90504455566406
2022-02-07,AAPL,168.1898193359375
2022-02-08,AAPL,171.2957000732422
2022-02-09,AAPL,172.71640014648438
2022-02-10,AAPL,168.64051818847656
2022-02-11,AAPL,165.23089599609375
2022-02-14,AAPL,165.46600341796875
2022-02-15,AAPL,169.29698181152344
2022-02-16,AAPL,169.06182861328125
2022-02-17,AAPL,165.46600341796875
2022-02-18,AAPL,163.91795349121094
2022-02-22,AAPL,160.9982147216797
2022-02-23,AAPL,156.83413696289062
2022-02-24,AAPL,159.4501495361328
2022-02-25,AAPL,161.51747131347656
2022-02-28,AAPL,161.78201293945312
2022-03-01,AAPL,159.90086364746094
2022-03-02,AAPL,163.19288635253906
2022-03-03,AAPL,162.86956787109375
2022-03-04,AAPL,159.87139892578125
2022-03-07,AAPL,156.07968139648438
2022-03-08,AAPL,154.2572479248047
2022-03-09,AAPL,159.65589904785156
2022-03-10,AAPL,155.31546020507812
2022-03-11,AAPL,151.60206604003906
2022-03-14,AAPL,147.57513427734375
2022-03-15,AAPL,151.9547576904297
2022-03-16,AAPL,156.36380004882812
2022-03-17,AAPL,157.37298583984375
2022-03-18,AAPL,160.66506958007812
2022-03-21,AAPL,162.0367431640625
2022-03-22,AAPL,165.40724182128906
2022-03-23,AAPL,166.76914978027344
2022-03-24,AAPL,170.5510711669922
2022-03-25,AAPL,171.1879425048828
2022-03-28,AAPL,172.05015563964844
2022-03-29,AAPL,175.3422393798828
2022-03-30,AAPL,174.17628479003906
2022-03-31,AAPL,171.08016967773438
2022-04-01,AAPL,170.78622436523438
2022-04-04,AAPL,174.83273315429688
2022-04-05,AAPL,171.52108764648438
2022-04-06,AAPL,168.35635375976562
2022-04-07,AAPL,168.6601104736328
2022-04-08,AAPL,166.6515655517578
2022-04-11,AAPL,162.3992919921875
2022-04-12,AAPL,164.2707061767578
2022-04-13,AAPL,166.95526123046875
2022-04-14,AAPL,161.94859313964844
2022-04-18,AAPL,161.7330322265625
2022-04-19,AAPL,164.0159149169922
2022-04-20,AAPL,163.84934997558594
2022-04-21,AAPL,163.05577087402344
2022-04-22,AAPL,158.5193328857422
2022-04-25,AAPL,159.5873260498047
2022-04-26,AAPL,153.6302032470703
2022-04-27,AAPL,153.40487670898438
2022-04-28,AAPL,160.33192443847656
2022-04-29,AAPL,154.46304321289062
2022-05-02,AAPL,154.7667694091797
2022-05-03,AAPL,156.2560272216797
2022-05-04,AAPL,162.663818359375
2022-05-05,AAPL,153.60081481933594
2022-05-06,AAPL,154.32693481445312
2022-05-09,AAPL,149.2049560546875
2022-05-10,AAPL,151.60894775390625
2022-05-11,AAPL,143.7493438720703
2022-05-12,AAPL,139.88330078125
2022-05-13,AAPL,144.3478546142578
2022-05-16,AAPL,142.80731201171875
2022-05-17,AAPL,146.43785095214844
2022-05-18,AAPL,138.1759796142578
2022-05-19,AAPL,134.77114868164062
2022-05-20,AAPL,135.0066375732422
2022-05-23,AAPL,140.4229736328125
2022-05-24,AAPL,137.724609375
2022-05-25,AAPL,137.88160705566406
2022-05-26,AAPL,141.0803985595703
2022-05-27,AAPL,146.83038330078125
2022-05-31,AAPL,146.04539489746094
2022-06-01,AAPL,145.91781616210938
2022-06-02,AAPL,148.37091064453125
2022-06-03,AAPL,142.6503448486328
2022-06-06,AAPL,143.39605712890625
2022-06-07,AAPL,145.91781616210938
2022-06-08,AAPL,145.18191528320312
2022-06-09,AAPL,139.96180725097656
2022-06-10,AAPL,134.55526733398438
2022-06-13,AAPL,129.4038543701172
2022-06-14,AAPL,130.26730346679688
2022-06-15,AAPL,132.8871612548828
2022-06-16,AAPL,127.61798858642578
2022-06-17,AAPL,129.08984375
2022-06-21,AAPL,133.31890869140625
2022-06-22,AAPL,132.8086700439453
2022-06-23,AAPL,135.67384338378906
2022-06-24,AAPL,139.0001983642578
2022-06-27,AAPL,139.0001983642578
2022-06-28,AAPL,134.8594207763672
2022-06-29,AAPL,136.61582946777344
2022-06-30,AAPL,134.15296936035156
2022-07-01,AAPL,136.3214569091797
2022-07-05,AAPL,138.90206909179688
2022-07-06,AAPL,140.2365264892578
2022-07-07,AAPL,143.60215759277344
2022-07-08,AAPL,144.27920532226562
2022-07-11,AAPL,142.14991760253906
2022-07-12,AAPL,143.1213836669922
2022-07-13,AAPL,142.75830078125
2022-07-14,AAPL,145.6823272705078
2022-07-15,AAPL,147.35040283203125
2022-07-18,AAPL,144.30865478515625
2022-07-19,AAPL,148.1648406982422
2022-07-20,AAPL,150.16650390625
2022-07-21,AAPL,152.43316650390625
2022-07-22,AAPL,151.1968536376953
2022-07-25,AAPL,150.07821655273438
2022-07-26,AAPL,148.75360107421875
2022-07-27,AAPL,153.84609985351562
2022-07-28,AAPL,154.39564514160156
2022-07-29,AAPL,159.45872497558594
2022-08-01,AAPL,158.4774932861328
2022-08-02,AAPL,157.00564575195312
2022-08-03,AAPL,163.01077270507812
2022-08-04,AAPL,162.69676208496094
2022-08-05,AAPL,162.4707794189453
2022-08-08,AAPL,161.9991455078125
2022-08-09,AAPL,162.04824829101562
2022-08-10,AAPL,166.2930145263672
2022-08-11,AAPL,165.55609130859375
2022-08-12,AAPL,169.10324096679688
2022-08-15,AAPL,170.1742401123047
2022-08-16,AAPL,170.01707458496094
2022-08-17,AAPL,171.51055908203125
2022-08-18,AAPL,171.11753845214844
2022-08-19,AAPL,168.53330993652344
2022-08-22,AAPL,164.65211486816406
2022-08-23,AAPL,164.31800842285156
2022-08-24,AAPL,164.61280822753906
2022-08-25,AAPL,167.06932067871094
2022-08-26,AAPL,160.77085876464844
2022-08-29,AAPL,158.56988525390625
2022-08-30,AAPL,156.14291381835938
2022-08-31,AAPL,154.48233032226562
2022-09-01,AAPL,155.20947265625
2022-09-02,AAPL,153.0968780517578
2022-09-06,AAPL,151.8391876220703
2022-09-07,AAPL,153.24429321289062
2022-09-08,AAPL,151.77041625976562
2022-09-09,AAPL,154.62974548339844
2022-09-12,AAPL,160.58421325683594
2022-09-13,AAPL,151.16119384765625
2022-09-14,AAPL,152.60562133789062
2022-09-15,AAPL,149.716796875
2022-09-16,AAPL,148.0758514404297
2022-09-19,AAPL,151.79002380371094
2022-09-20,AAPL,154.16790771484375
2022-09-21,AAPL,151.04327392578125
2022-09-22,AAPL,150.08035278320312
2022-09-23,AAPL,147.81057739257812
2022-09-26,AAPL,148.14463806152344
2022-09-27,AAPL,149.11744689941406
2022-09-28,AAPL,147.2308349609375
2022-09-29,AAPL,139.99899291992188
2022-09-30,AAPL,135.7935333251953
2022-10-03,AAPL,139.96949768066406
2022-10-04,AAPL,143.55596923828125
2022-10-05,AAPL,143.8507537841797
2022-10-06,AAPL,142.89761352539062
2022-10-07,AAPL,137.6505889892578
2022-10-10,AAPL,137.97488403320312
2022-10-11,AAPL,136.55996704101562
2022-10-12,AAPL,135.9311065673828
2022-10-13,AAPL,140.50013732910156
2022-10-14,AAPL,135.9703826904297
2022-10-17,AAPL,139.9302215576172
2022-10-18,AAPL,141.2468719482422
2022-10-19,AAPL,141.35496520996094
2022-10-20,AAPL,140.89312744140625
2022-10-21,AAPL,144.70556640625
2022-10-24,AAPL,146.84762573242188
2022-10-25,AAPL,149.68731689453125
2022-10-26,AAPL,146.74940490722656
2022-10-27,AAPL,142.27859497070312
2022-10-28,AAPL,153.02810668945312
2022-10-31,AAPL,150.66990661621094
2022-11-01,AAPL,148.0267333984375
2022-11-02,AAPL,142.50462341308594
2022-11-03,AAPL,136.46168518066406
2022-11-04,AAPL,136.19595336914062
2022-11-07,AAPL,136.72740173339844
2022-11-08,AAPL,137.2982940673828
2022-11-09,AAPL,132.7413330078125
2022-11-10,AAPL,144.55194091796875
2022-11-11,AAPL,147.33731079101562
2022-11-14,AAPL,145.93971252441406
2022-11-15,AAPL,147.6719207763672
2022-11-16,AAPL,146.441650390625
2022-11-17,AAPL,148.34120178222656
2022-11-18,AAPL,148.9021759033203
2022-11-21,AAPL,145.6739501953125
2022-11-22,AAPL,147.8097381591797
2022-11-23,AAPL,148.68568420410156
2022-11-25,AAPL,145.7723846435547
2022-11-28,AAPL,141.9437713623047
2022-11-29,AAPL,138.94192504882812
2022-11-30,AAPL,145.6936492919922
2022-12-01,AAPL,145.96923828125
2022-12-02,AAPL,145.4771270751953
2022-12-05,AAPL,144.31573486328125
2022-12-06,AAPL,140.65444946289062
2022-12-07,AAPL,138.71554565429688
2022-12-08,AAPL,140.39854431152344
2022-12-09,AAPL,139.91629028320312
2022-12-12,AAPL,142.2095184326172
2022-12-13,AAPL,143.174072265625
2022-12-14,AAPL,140.94969177246094
2022-12-15,AAPL,134.34564208984375
2022-12-16,AAPL,132.3870391845703
2022-12-19,AAPL,130.2808074951172
2022-12-20,AAPL,130.21189880371094
2022-12-21,AAPL,133.31219482421875
2022-12-22,AAPL,130.14303588867188
2022-12-23,AAPL,129.77882385253906
2022-12-27,AAPL,127.97772216796875
2022-12-28,AAPL,124.05070495605469
